Date,DailyTotalReach,DailyUnlikes,PhotoViews,OtherClicks,VideoPlay,LinkClicks,PageEngagedUsers,PageConsumers,PageConsumptions,OrganicReach,PaidReach,TotalImpressions,OrganicImpressions,PaidImpressions,ViralImpressions,PageEngagements,DailyNewLikes,DailyNegativeFeedback,FansOnline,TotalLikeReactions,TotalLoveReactions,TotalWowReations,TotalHaHaReactions,TotalSorryReactions,TotalAngerReactions,PageViews,VideoAutoPlayed,VideoClickstoPlay,VideoClicks30sPlay,VideoClicks10sPlay
2017-10-10T07:00:00+0000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466,0,0,0,0,0,0,0,0,0,0,0
2017-10-11T07:00:00+0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,473,0,0,0,0,0,0,0,0,0,0,0
2017-10-12T07:00:00+0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472,0,0,0,0,0,0,0,0,0,0,0
2017-10-13T07:00:00+0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468,0,0,0,0,0,0,0,0,0,0,0
2017-10-14T07:00:00+0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468,0,0,0,0,0,0,0,0,0,0,0
2017-10-15T07:00:00+0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,473,0,0,0,0,0,0,0,0,0,0,0
2017-10-16T07:00:00+0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,0,0,0,0,0,0,0,0,0,0,0
2017-10-17T07:00:00+0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,473,0,0,0,0,0,0,0,0,0,0,0
2017-10-18T07:00:00+0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469,0,0,0,0,0,0,0,0,0,0,0
2017-10-19T07:00:00+0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471,0,0,0,0,0,0,0,0,0,0,0
2017-10-20T07:00:00+0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476,0,0,0,0,0,0,0,0,0,0,0
2017-10-21T07:00:00+0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,473,0,0,0,0,0,0,0,0,0,0,0
2017-10-22T07:00:00+0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472,0,0,0,0,0,0,0,0,0,0,0
2017-10-23T07:00:00+0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475,0,0,0,0,0,0,0,0,0,0,0
2017-10-24T07:00:00+0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471,0,0,0,0,0,0,0,0,0,0,0
2017-10-25T07:00:00+0000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470,0,0,0,0,0,0,0,0,0,0,0
2017-10-26T07:00:00+0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470,0,0,0,0,0,0,0,0,0,0,0
2017-10-27T07:00:00+0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469,0,0,0,0,0,0,0,0,0,0,0
2017-10-28T07:00:00+0000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,473,0,0,0,0,0,0,0,0,0,0,0
2017-10-29T07:00:00+0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459,0,0,0,0,0,0,0,0,0,0,0
2017-10-30T07:00:00+0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462,0,0,0,0,0,0,0,0,0,0,0
2017-10-31T07:00:00+0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,473,0,0,0,0,0,0,0,0,0,0,0
2017-11-01T07:00:00+0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466,0,0,0,0,0,0,1,0,0,0,0
2017-11-02T07:00:00+0000,2,0,2,0,0,0,1,1,2,2,0,11,6,0,0,2,0,0,468,0,0,0,0,0,0,0,0,0,0,0
2017-11-03T07:00:00+0000,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,467,0,0,0,0,0,0,0,1,1,0,0
2017-11-04T07:00:00+0000,4,0,0,0,0,0,1,0,0,0,0,13,0,0,6,0,1,0,462,0,0,0,0,0,0,0,0,0,0,0
2017-11-05T07:00:00+0000,2,0,0,0,0,0,0,0,0,1,0,3,2,0,1,0,0,0,473,0,0,0,0,0,0,0,0,0,0,0
